"Unicode","POINT_X","POINT_Y","EASTING","NORTHING","STATUS","D.x","L.x","V.x","BLOCK_NUM","TOTAL_C","TOTAL_P"
"1.10.36.1",-71.49009602,-16.40468107,234052.7121,8184667.344,0,10,36,1,668,0,0
"1.10.36.10",-71.48975771,-16.40432123,234088.3741,8184707.625,0,10,36,10,669,0,0
"1.10.36.100",-71.48811539,-16.40228585,234261.1058,8184935.109,0,10,36,100,676,0,0
"1.10.36.101",-71.48812906,-16.40239863,234259.7983,8184922.606,0,10,36,101,676,0,0
"1.10.36.102",-71.4887784,-16.40189768,234189.7286,8184977.213,0,10,36,102,677,0,0
"1.10.36.103",-71.48885769,-16.40250748,234182.0848,8184909.6,0,10,36,103,678,0,0
"1.10.36.104",-71.48943048,-16.40288517,234121.39,8184867.036,0,10,36,104,679,0,0
"1.10.36.105",-71.48951113,-16.40289173,234112.7801,8184866.204,0,10,36,105,679,0,0
"1.10.36.106",-71.48959315,-16.40290091,234104.0277,8184865.08,0,10,36,106,679,0,0
"1.10.36.107",-71.48959315,-16.40280648,234103.8993,8184875.533,0,10,36,107,679,0,0
"1.10.36.108",-71.48960136,-16.40275665,234102.9551,8184881.04,9,10,36,108,679,0,0
"1.10.36.109",-71.48959862,-16.40267534,234103.1367,8184890.044,1,10,36,109,679,3,0
"1.10.36.11",-71.48972323,-16.40416169,234091.8413,8184725.332,0,10,36,11,669,0,0
"1.10.36.110",-71.48960409,-16.40259535,234102.4437,8184898.893,9,10,36,110,679,0,0
"1.10.36.111",-71.48960272,-16.40248519,234102.44,8184911.09,0,10,36,111,679,0,0
"1.10.36.112",-71.48944005,-16.40266485,234120.0679,8184891.414,0,10,36,112,679,0,0
"1.10.36.113",-71.48929104,-16.40240388,234135.636,8184920.501,0,10,36,113,680,0,0
"1.10.36.114",-71.48941954,-16.4023711,234121.8598,8184923.962,0,10,36,114,680,0,0
"1.10.36.115",-71.48960819,-16.40229504,234101.5972,8184932.135,9,10,36,115,680,0,0
"1.10.36.116",-71.48954394,-16.40217177,234108.2954,8184945.866,0,10,36,116,680,0,0
"1.10.36.117",-71.48929104,-16.40220193,234135.3615,8184942.859,0,10,36,117,680,0,0
"1.10.36.118",-71.48928831,-16.40230946,234135.7999,8184930.957,0,10,36,118,680,0,0
"1.10.36.119",-71.48989527,-16.402337,234070.977,8184927.112,1,10,36,119,681,168,0
"1.10.36.12",-71.48969776,-16.40407343,234094.444,8184735.137,0,10,36,12,669,0,0
"1.10.36.120",-71.489898,-16.40239733,234070.7669,8184920.43,1,10,36,120,681,8,0
"1.10.36.121",-71.48988297,-16.40250355,234072.5182,8184908.69,9,10,36,121,681,0,0
"1.10.36.122",-71.48986246,-16.40260715,234074.8502,8184897.248,1,10,36,122,681,114,0
"1.10.36.123",-71.48984059,-16.40272911,234077.3533,8184883.775,9,10,36,123,681,0,0
"1.10.36.124",-71.48983922,-16.40282222,234077.626,8184873.469,1,10,36,124,681,15,0
"1.10.36.125",-71.48979138,-16.40294025,234082.8993,8184860.465,1,10,36,125,681,62,0
"1.10.36.126",-71.48989937,-16.40293762,234071.3553,8184860.614,1,10,36,126,681,0,0
"1.10.36.127",-71.48997456,-16.40296516,234063.3582,8184857.466,1,10,36,127,681,6,0
"1.10.36.128",-71.49005795,-16.40296516,234054.4472,8184857.357,0,10,36,128,681,0,0
"1.10.36.129",-71.49019465,-16.40297697,234039.8551,8184855.871,9,10,36,129,681,0,0
"1.10.36.13",-71.48966237,-16.40401504,234098.1461,8184741.647,0,10,36,13,669,0,0
"1.10.36.130",-71.49020832,-16.40286812,234038.2463,8184867.903,1,10,36,130,681,13,0
"1.10.36.131",-71.49020149,-16.40275796,234038.827,8184880.107,0,10,36,131,681,0,0
"1.10.36.132",-71.49022609,-16.40264387,234036.0425,8184892.706,1,10,36,132,681,0,0
"1.10.36.133",-71.49026164,-16.40254814,234032.1142,8184903.257,0,10,36,133,681,0,0
"1.10.36.134",-71.490263,-16.4024288,234031.8059,8184916.467,0,10,36,134,681,2,0
"1.10.36.135",-71.49027804,-16.40231995,234030.051,8184928.497,1,10,36,135,681,75,0
"1.10.36.136",-71.4902671,-16.40221898,234031.0824,8184939.69,0,10,36,136,681,0,0
"1.10.36.137",-71.49018508,-16.40222947,234039.8616,8184938.637,1,10,36,137,681,4,0
"1.10.36.138",-71.4901263,-16.40225963,234046.1841,8184935.375,9,10,36,138,681,0,0
"1.10.36.139",-71.4900142,-16.40229897,234058.2163,8184931.166,1,10,36,139,681,1,0
"1.10.36.14",-71.48964821,-16.40392406,234099.535,8184751.738,0,10,36,14,669,0,0
"1.10.36.140",-71.48983512,-16.40216914,234077.1765,8184945.774,9,10,36,140,682,0,0
"1.10.36.141",-71.48994175,-16.40212456,234065.7215,8184950.57,9,10,36,141,682,0,0
"1.10.36.142",-71.49007709,-16.40211144,234051.2416,8184951.845,1,10,36,142,682,3,0
"1.10.36.143",-71.49015091,-16.40206948,234043.2961,8184956.394,1,10,36,143,682,0,0
"1.10.36.144",-71.49021516,-16.40204194,234036.3929,8184959.358,0,10,36,144,682,0,0
"1.10.36.145",-71.49028761,-16.40201178,234028.6095,8184962.602,0,10,36,145,682,0,0
"1.10.36.146",-71.49023156,-16.40189113,234034.4349,8184976.032,0,10,36,146,682,0,0
"1.10.36.147",-71.49023019,-16.40179408,234034.4491,8184986.778,0,10,36,147,682,0,0
"1.10.36.148",-71.49021652,-16.40167999,234035.7548,8184999.426,0,10,36,148,682,0,0
"1.10.36.149",-71.49022062,-16.40157377,234035.1722,8185011.181,0,10,36,149,682,0,0
"1.10.36.15",-71.48963972,-16.4038195,234100.3004,8184763.324,0,10,36,15,669,0,0
"1.10.36.150",-71.49007425,-16.40159137,234050.838,8185009.424,0,10,36,150,682,0,0
"1.10.36.151",-71.48984901,-16.40158563,234074.8995,8185010.355,0,10,36,151,682,0,0
"1.10.36.152",-71.48983404,-16.40168326,234076.6315,8184999.567,0,10,36,152,682,0,0
"1.10.36.153",-71.48983179,-16.40179668,234077.0256,8184987.013,0,10,36,153,682,0,0
"1.10.36.154",-71.48984003,-16.40191512,234076.307,8184973.889,0,10,36,154,682,0,0
"1.10.36.155",-71.48982654,-16.4020173,234077.8873,8184962.595,0,10,36,155,682,0,0
"1.10.36.156",-71.48984353,-16.40210444,234076.1901,8184952.926,0,10,36,156,682,0,0
"1.10.36.157",-71.48979501,-16.40139953,234080.4167,8185031.029,0,10,36,157,683,0,0
"1.10.36.158",-71.48993223,-16.40137574,234065.7212,8185033.482,0,10,36,158,683,0,0
"1.10.36.159",-71.49003473,-16.40137098,234054.7615,8185033.874,9,10,36,159,683,0,0
"1.10.36.16",-71.48961141,-16.40374753,234103.2278,8184771.329,0,10,36,16,669,0,0
"1.10.36.160",-71.49017194,-16.40135512,234040.0768,8185035.45,0,10,36,160,683,0,0
"1.10.36.161",-71.49013227,-16.40124728,234044.1701,8185047.441,0,10,36,161,683,0,0
"1.10.36.162",-71.49012565,-16.40113309,234044.7216,8185060.091,0,10,36,162,683,0,0
"1.10.36.163",-71.48991735,-16.40116164,234067.0202,8185057.204,0,10,36,163,683,0,0
"1.10.36.164",-71.48976856,-16.40118067,234082.9458,8185055.293,0,10,36,164,683,0,0
"1.10.36.165",-71.48977186,-16.40127583,234082.7218,8185044.754,0,10,36,165,683,0,0
"1.10.36.166",-71.48950735,-16.40135671,234111.0981,8185036.146,0,10,36,166,684,0,0
"1.10.36.167",-71.48949908,-16.40121397,234111.7875,8185051.959,0,10,36,167,684,0,0
"1.10.36.168",-71.48936682,-16.40123776,234125.9529,8185049.499,0,10,36,168,684,0,0
"1.10.36.169",-71.48926102,-16.40127107,234137.3047,8185045.951,0,10,36,169,684,0,0
"1.10.36.17",-71.48956894,-16.40361717,234107.5884,8184785.816,0,10,36,17,669,0,0
"1.10.36.170",-71.48913041,-16.40126314,234151.2505,8185047,9,10,36,170,684,0,0
"1.10.36.171",-71.48914695,-16.40135036,234149.6024,8185037.322,0,10,36,171,684,0,0
"1.10.36.172",-71.48915083,-16.40145213,234149.3258,8185026.05,9,10,36,172,684,0,0
"1.10.36.173",-71.48927805,-16.40144046,234135.7146,8185027.175,0,10,36,173,684,0,0
"1.10.36.174",-71.48937329,-16.40141495,234125.503,8185029.875,0,10,36,174,684,0,0
"1.10.36.175",-71.48886388,-16.40148796,234180.0384,8185022.461,9,10,36,175,685,0,0
"1.10.36.176",-71.48886508,-16.4013336,234179.6998,8185039.547,9,10,36,176,685,0,0
"1.10.36.177",-71.48856226,-16.40132031,234212.041,8185041.416,0,10,36,177,685,0,0
"1.10.36.178",-71.48842333,-16.40136716,234226.9508,8185036.411,0,10,36,178,685,0,0
"1.10.36.179",-71.48833807,-16.40137546,234236.0733,8185035.605,0,10,36,179,685,0,0
"1.10.36.18",-71.48953497,-16.40349768,234111.0562,8184799.09,0,10,36,18,669,0,0
"1.10.36.180",-71.48826037,-16.40137621,234244.3774,8185035.622,0,10,36,180,685,0,0
"1.10.36.181",-71.48816046,-16.40139261,234255.0766,8185033.938,9,10,36,181,685,0,0
"1.10.36.182",-71.48808281,-16.40140255,234263.3872,8185032.94,9,10,36,182,685,0,0
"1.10.36.183",-71.48798029,-16.40140462,234274.3457,8185032.846,0,10,36,183,685,0,0
"1.10.36.184",-71.48801713,-16.40161154,234270.6904,8185009.889,0,10,36,184,685,0,0
"1.10.36.185",-71.48811607,-16.40161326,234260.119,8185009.569,9,10,36,185,685,0,0
"1.10.36.186",-71.48824144,-16.40159748,234246.7008,8185011.151,0,10,36,186,685,0,0
"1.10.36.187",-71.4883557,-16.40156687,234234.4494,8185014.391,9,10,36,187,685,0,0
"1.10.36.188",-71.48847328,-16.40154604,234221.8565,8185016.543,0,10,36,188,685,0,0
"1.10.36.189",-71.48856238,-16.40153918,234212.326,8185017.185,0,10,36,189,685,0,0
"1.10.36.19",-71.4894391,-16.40340549,234121.1753,8184809.421,0,10,36,19,669,0,0
"1.10.36.190",-71.48890001,-16.4010558,234175.59,8185070.256,0,10,36,190,686,0,0
"1.10.36.191",-71.4888843,-16.40090626,234177.0653,8185086.832,9,10,36,191,686,0,0
"1.10.36.192",-71.48887305,-16.40076431,234178.0751,8185102.561,0,10,36,192,686,0,0
"1.10.36.193",-71.48885021,-16.40063461,234180.3396,8185116.949,9,10,36,193,686,0,0
"1.10.36.194",-71.48872388,-16.40066205,234193.876,8185114.078,0,10,36,194,686,0,0
"1.10.36.195",-71.48861789,-16.40069014,234205.2409,8185111.106,9,10,36,195,686,0,0
"1.10.36.196",-71.48851445,-16.40069728,234216.3037,8185110.452,0,10,36,196,686,0,0
"1.10.36.197",-71.48840558,-16.40071624,234227.9634,8185108.496,0,10,36,197,686,0,0
"1.10.36.198",-71.48830118,-16.40072805,234239.1362,8185107.325,0,10,36,198,686,0,0
"1.10.36.199",-71.48820027,-16.40073738,234249.9322,8185106.424,0,10,36,199,686,0,0
"1.10.36.2",-71.49011017,-16.40456972,234051.0481,8184679.652,0,10,36,2,668,0,0
"1.10.36.20",-71.48916836,-16.40348953,234150.2216,8184800.473,0,10,36,20,669,0,0
"1.10.36.200",-71.48810247,-16.40076047,234260.4145,8185103.997,0,10,36,200,686,0,0
"1.10.36.201",-71.48802079,-16.40079206,234269.1857,8185100.607,0,10,36,201,686,0,0
"1.10.36.202",-71.48791671,-16.40078648,234280.2999,8185101.36,0,10,36,202,686,0,0
"1.10.36.203",-71.48791819,-16.4010064,234280.441,8185077.012,0,10,36,203,686,0,0
"1.10.36.204",-71.4880255,-16.40098056,234268.938,8185079.732,9,10,36,204,686,0,0
"1.10.36.205",-71.48811787,-16.40096931,234259.0527,8185080.856,0,10,36,205,686,0,0
"1.10.36.206",-71.48823879,-16.40114083,234246.3635,8185061.71,0,10,36,206,686,0,0
"1.10.36.207",-71.48833248,-16.40113183,234236.34,8185062.583,0,10,36,207,686,0,0
"1.10.36.208",-71.48843803,-16.40111881,234225.0431,8185063.886,9,10,36,208,686,0,0
"1.10.36.209",-71.48856358,-16.40109559,234211.595,8185066.292,9,10,36,209,686,0,0
"1.10.36.21",-71.48920799,-16.40361989,234146.1635,8184785.989,0,10,36,21,669,0,0
"1.10.36.210",-71.48863715,-16.40109448,234203.7321,8185066.318,0,10,36,210,686,0,0
"1.10.36.211",-71.48868789,-16.40109559,234198.3107,8185066.129,0,10,36,211,686,0,0
"1.10.36.212",-71.48876787,-16.40107797,234189.7409,8185067.974,0,10,36,212,686,0,0
"1.10.36.213",-71.48910728,-16.40103553,234153.4133,8185072.228,0,10,36,213,687,0,0
"1.10.36.214",-71.48924839,-16.40103359,234138.3313,8185072.258,0,10,36,214,687,0,0
"1.10.36.215",-71.48937359,-16.40100344,234124.9113,8185075.431,0,10,36,215,687,0,0
"1.10.36.216",-71.48946601,-16.40099335,234115.0212,8185076.427,0,10,36,216,687,0,0
"1.10.36.217",-71.48953747,-16.40099812,234107.3924,8185075.805,0,10,36,217,687,0,0
"1.10.36.218",-71.48948065,-16.40082941,234113.2347,8185094.557,0,10,36,218,687,0,0
"1.10.36.219",-71.48947212,-16.40073255,234114.014,8185105.291,0,10,36,219,687,0,0
"1.10.36.22",-71.4892731,-16.40370951,234139.3274,8184775.982,0,10,36,22,669,0,0
"1.10.36.220",-71.48945823,-16.40060121,234115.3198,8185119.85,0,10,36,220,687,0,0
"1.10.36.221",-71.48935066,-16.40059812,234126.811,8185120.333,0,10,36,221,687,0,0
"1.10.36.222",-71.4892121,-16.40062657,234141.6566,8185117.365,0,10,36,222,687,0,0
"1.10.36.223",-71.48910927,-16.40058007,234152.5812,8185122.649,0,10,36,223,687,0,0
"1.10.36.224",-71.48910875,-16.40063605,234152.7134,8185116.452,0,10,36,224,687,0,0
"1.10.36.225",-71.48910155,-16.40075327,234153.6418,8185103.483,0,10,36,225,687,0,0
"1.10.36.226",-71.4891139,-16.40086991,234152.4808,8185090.554,0,10,36,226,687,0,0
"1.10.36.227",-71.48975392,-16.40098943,234084.2497,8185076.484,0,10,36,227,688,0,0
"1.10.36.228",-71.48991788,-16.40096497,234066.6954,8185078.976,0,10,36,228,688,0,0
"1.10.36.229",-71.49013011,-16.40092763,234043.9662,8185082.831,0,10,36,229,688,0,0
"1.10.36.23",-71.48932831,-16.40379642,234133.5464,8184766.289,0,10,36,23,669,0,0
"1.10.36.230",-71.49015288,-16.40081236,234041.3759,8185095.562,0,10,36,230,688,0,0
"1.10.36.231",-71.49013317,-16.40069642,234043.3248,8185108.424,0,10,36,231,688,0,0
"1.10.36.232",-71.49010232,-16.40057922,234046.4623,8185121.44,0,10,36,232,688,0,0
"1.10.36.233",-71.49005646,-16.4004937,234051.2467,8185130.967,9,10,36,233,688,0,0
"1.10.36.234",-71.48975396,-16.40053436,234083.6274,8185126.863,9,10,36,234,688,0,0
"1.10.36.235",-71.48974533,-16.40063746,234084.6891,8185115.46,0,10,36,235,688,0,0
"1.10.36.236",-71.48973747,-16.40075558,234085.69,8185102.394,0,10,36,236,688,0,0
"1.10.36.237",-71.48972867,-16.40085515,234086.766,8185091.383,0,10,36,237,688,0,0
"1.10.36.238",-71.48966409,-16.40032694,234092.949,8185149.943,0,10,36,238,689,0,0
"1.10.36.239",-71.48982244,-16.40030097,234075.9926,8185152.61,0,10,36,239,689,0,0
"1.10.36.24",-71.48937077,-16.40388061,234129.123,8184756.913,0,10,36,24,669,0,0
"1.10.36.240",-71.48992493,-16.4002838,234065.0164,8185154.377,9,10,36,240,689,0,0
"1.10.36.241",-71.49006895,-16.40026647,234049.6029,8185156.107,0,10,36,241,689,0,0
"1.10.36.242",-71.4900438,-16.40015255,234052.1354,8185168.752,9,10,36,242,689,0,0
"1.10.36.243",-71.49004432,-16.40005336,234051.9454,8185179.731,0,10,36,243,689,0,0
"1.10.36.244",-71.49003115,-16.39990258,234053.1479,8185196.441,0,10,36,244,689,0,0
"1.10.36.245",-71.48987949,-16.39995126,234069.4207,8185191.251,0,10,36,245,689,0,0
"1.10.36.246",-71.48976826,-16.39995998,234081.3186,8185190.431,0,10,36,246,689,0,0
"1.10.36.247",-71.4896317,-16.39994244,234095.8872,8185192.553,0,10,36,247,689,0,0
"1.10.36.248",-71.48963465,-16.40003704,234095.7012,8185182.076,0,10,36,248,689,0,0
"1.10.36.249",-71.48963486,-16.40007775,234095.7336,8185177.569,0,10,36,249,689,0,0
"1.10.36.25",-71.48940899,-16.40394578,234125.1276,8184749.647,0,10,36,25,669,0,0
"1.10.36.250",-71.48964316,-16.40013226,234094.9211,8185171.524,0,10,36,250,689,0,0
"1.10.36.251",-71.48966371,-16.4002101,234092.8306,8185162.879,9,10,36,251,689,0,0
"1.10.36.252",-71.4896181,-16.39974653,234097.0752,8185214.26,0,10,36,252,690,0,0
"1.10.36.253",-71.48972169,-16.39973285,234085.9863,8185215.638,9,10,36,253,690,0,0
"1.10.36.254",-71.48983121,-16.39972686,234074.2745,8185216.157,1,10,36,254,690,2,0
"1.10.36.255",-71.48999212,-16.39971493,234057.0639,8185217.266,1,10,36,255,690,135,0
"1.10.36.256",-71.4899778,-16.39965097,234058.5065,8185224.366,1,10,36,256,690,4,0
"1.10.36.257",-71.48997645,-16.39956958,234058.5403,8185233.379,0,10,36,257,690,0,0
"1.10.36.258",-71.48996062,-16.39947559,234060.1045,8185243.805,1,10,36,258,690,48,0
"1.10.36.259",-71.489935,-16.39937054,234062.6997,8185255.468,9,10,36,259,690,0,0
"1.10.36.26",-71.48942881,-16.40402726,234123.1207,8184740.601,0,10,36,26,669,0,0
"1.10.36.260",-71.48981346,-16.3993762,234075.6949,8185255.001,0,10,36,260,690,0,0
"1.10.36.261",-71.48970367,-16.39937689,234087.4281,8185255.069,1,10,36,261,690,1,0
"1.10.36.262",-71.48957471,-16.39936342,234101.1912,8185256.729,1,10,36,262,690,0,0
"1.10.36.263",-71.48959435,-16.39949619,234099.2726,8185242.005,0,10,36,263,690,0,0
"1.10.36.264",-71.48960297,-16.39961177,234098.5086,8185229.198,9,10,36,264,690,0,0
"1.10.36.265",-71.48937675,-16.3997737,234122.9028,8185211.567,9,10,36,265,691,0,0
"1.10.36.266",-71.48935816,-16.39964354,234124.7121,8185226.002,9,10,36,266,691,0,0
"1.10.36.267",-71.4893431,-16.39952826,234126.1653,8185238.784,0,10,36,267,691,0,0
"1.10.36.268",-71.48934205,-16.39939816,234126.1005,8185253.188,0,10,36,268,691,2,0
"1.10.36.269",-71.48899411,-16.39941614,234163.3069,8185251.654,0,10,36,269,691,0,0
"1.10.36.27",-71.48947694,-16.40411552,234118.0978,8184730.767,0,10,36,27,669,0,0
"1.10.36.270",-71.48900923,-16.39946976,234161.7637,8185245.698,0,10,36,270,691,0,0
"1.10.36.271",-71.48902023,-16.399541,234160.6852,8185237.797,0,10,36,271,691,0,0
"1.10.36.272",-71.48900893,-16.39969588,234162.1025,8185220.666,0,10,36,272,691,0,0
"1.10.36.273",-71.48900439,-16.39982082,234162.7581,8185206.84,9,10,36,273,691,0,0
"1.10.36.274",-71.48908379,-16.39980878,234154.2566,8185208.069,9,10,36,274,691,0,0
"1.10.36.275",-71.48916775,-16.39980945,234145.2853,8185207.884,9,10,36,275,691,0,0
"1.10.36.276",-71.48926709,-16.39979607,234134.6517,8185209.236,9,10,36,276,691,0,0
"1.10.36.277",-71.4890364,-16.40003312,234159.6259,8185183.295,0,10,36,277,692,0,0
"1.10.36.278",-71.48905894,-16.40016215,234157.3926,8185168.981,0,10,36,278,692,0,0
"1.10.36.279",-71.48907115,-16.40025462,234156.213,8185158.727,0,10,36,279,692,0,0
"1.10.36.28",-71.48952931,-16.40419564,234112.6101,8184721.828,0,10,36,28,669,0,0
"1.10.36.280",-71.48908069,-16.4003129,234155.2725,8185152.263,0,10,36,280,692,0,0
"1.10.36.281",-71.4890801,-16.40039423,234155.4463,8185143.26,9,10,36,281,692,0,0
"1.10.36.282",-71.48919691,-16.40039511,234142.9649,8185143.01,0,10,36,282,692,0,0
"1.10.36.283",-71.48939069,-16.40037253,234122.2266,8185145.255,0,10,36,283,692,0,0
"1.10.36.284",-71.48939699,-16.40027377,234121.4191,8185156.18,9,10,36,284,692,0,0
"1.10.36.285",-71.48938615,-16.40020833,234122.4892,8185163.439,0,10,36,285,692,0,0
"1.10.36.286",-71.48939054,-16.40012773,234121.91,8185172.356,9,10,36,286,692,0,0
"1.10.36.287",-71.48939059,-16.39999855,234121.7289,8185186.657,0,10,36,287,692,0,0
"1.10.36.288",-71.48931454,-16.400003,234129.8616,8185186.265,9,10,36,288,692,0,0
"1.10.36.289",-71.48922724,-16.40002694,234139.2236,8185183.729,9,10,36,289,692,0,0
"1.10.36.29",-71.4895647,-16.40425131,234108.9043,8184715.619,0,10,36,29,669,0,0
"1.10.36.290",-71.48916308,-16.40002451,234146.0761,8185184.082,9,10,36,290,692,0,0
"1.10.36.291",-71.48865483,-16.40040139,234200.9007,8185143.025,9,10,36,291,693,0,0
"1.10.36.292",-71.488185,-16.40049554,234251.2353,8185133.218,0,10,36,292,694,0,0
"1.10.36.293",-71.48821947,-16.4003765,234247.3906,8185146.351,0,10,36,293,694,0,0
"1.10.36.294",-71.48820714,-16.40026325,234248.5537,8185158.905,0,10,36,294,694,0,0
"1.10.36.295",-71.48818843,-16.40015392,234250.4053,8185171.033,0,10,36,295,694,0,0
"1.10.36.296",-71.48806957,-16.40016849,234263.1259,8185169.576,0,10,36,296,694,0,0
"1.10.36.297",-71.48797805,-16.40018359,234272.9262,8185168.024,9,10,36,297,694,0,0
"1.10.36.298",-71.48790491,-16.40018971,234280.7503,8185167.443,0,10,36,298,694,0,0
"1.10.36.299",-71.48791641,-16.40032377,234279.7041,8185152.586,9,10,36,299,694,0,0
"1.10.36.3",-71.49012999,-16.40444344,234048.7588,8184693.607,0,10,36,3,668,0,0
"1.10.36.30",-71.48993698,-16.40426081,234069.1356,8184714.078,0,10,36,30,670,0,0
"1.10.36.300",-71.48791977,-16.4004275,234279.4852,8185141.098,0,10,36,300,694,0,0
"1.10.36.301",-71.48790412,-16.4005276,234281.2936,8185130.038,0,10,36,301,694,0,0
"1.10.36.302",-71.48801583,-16.40052059,234269.3474,8185130.667,0,10,36,302,694,0,0
"1.10.36.303",-71.48813497,-16.39997213,234255.8711,8185191.229,0,10,36,303,695,0,0
"1.10.36.304",-71.4881283,-16.39987758,234256.4553,8185201.704,0,10,36,304,695,0,0
"1.10.36.305",-71.4881334,-16.39979243,234255.7939,8185211.125,0,10,36,305,695,0,0
"1.10.36.306",-71.48810916,-16.39970413,234258.2648,8185220.932,0,10,36,306,695,0,0
"1.10.36.307",-71.48810898,-16.39960748,234258.1531,8185231.632,9,10,36,307,695,0,0
"1.10.36.308",-71.48810052,-16.39951483,234258.9309,8185241.9,0,10,36,308,695,0,0
"1.10.36.309",-71.48796535,-16.3995419,234273.4121,8185239.08,0,10,36,309,695,0,0
"1.10.36.31",-71.49001058,-16.40425538,234061.2627,8184714.582,9,10,36,31,670,0,0
"1.10.36.310",-71.4879452,-16.39966479,234275.7319,8185225.502,9,10,36,310,695,0,0
"1.10.36.311",-71.48793856,-16.39977531,234276.5924,8185213.276,0,10,36,311,695,0,0
"1.10.36.312",-71.48794018,-16.39988183,234276.5635,8185201.481,0,10,36,312,695,0,0
"1.10.36.313",-71.48793438,-16.3999905,234277.3308,8185189.458,9,10,36,313,695,0,0
"1.10.36.314",-71.48807979,-16.39930983,234260.8681,8185264.622,0,10,36,314,696,0,0
"1.10.36.315",-71.48817117,-16.39929203,234251.0788,8185266.474,0,10,36,315,696,0,0
"1.10.36.316",-71.48827802,-16.39926356,234239.622,8185269.485,0,10,36,316,696,0,0
"1.10.36.317",-71.48828789,-16.39919806,234238.4786,8185276.723,0,10,36,317,696,0,0
"1.10.36.318",-71.48825923,-16.39907835,234241.3785,8185290.014,0,10,36,318,696,0,0
"1.10.36.319",-71.4882356,-16.39898369,234243.7745,8185300.524,9,10,36,319,696,0,0
"1.10.36.32",-71.49007853,-16.40424316,234053.9856,8184715.846,0,10,36,32,670,0,0
"1.10.36.320",-71.48847076,-16.39924389,234218.9983,8185271.41,0,10,36,320,697,0,0
"1.10.36.321",-71.48857204,-16.39923556,234208.1643,8185272.199,0,10,36,321,697,0,0
"1.10.36.322",-71.48870049,-16.39924313,234194.4484,8185271.193,0,10,36,322,697,0,0
"1.10.36.323",-71.48872706,-16.39915426,234191.4877,8185280.996,9,10,36,323,697,0,0
"1.10.36.324",-71.4887148,-16.39906089,234192.6709,8185291.349,9,10,36,324,697,0,0
"1.10.36.325",-71.48871851,-16.39896677,234192.1465,8185301.764,0,10,36,325,697,0,0
"1.10.36.326",-71.48868786,-16.39886341,234195.2821,8185313.247,0,10,36,326,697,0,0
"1.10.36.327",-71.48864812,-16.39878534,234199.4221,8185321.942,0,10,36,327,697,0,0
"1.10.36.328",-71.48863991,-16.39871617,234200.2055,8185329.611,0,10,36,328,697,0,0
"1.10.36.329",-71.48865575,-16.39861967,234198.3825,8185340.272,9,10,36,329,697,0,0
"1.10.36.33",-71.49018894,-16.40419835,234042.1264,8184720.662,0,10,36,33,670,0,0
"1.10.36.330",-71.48865806,-16.39851658,234197.9951,8185351.682,9,10,36,330,697,0,0
"1.10.36.331",-71.48864253,-16.39841433,234199.5162,8185363.023,0,10,36,331,697,0,0
"1.10.36.332",-71.48862621,-16.39833379,234201.1506,8185371.961,9,10,36,332,697,0,0
"1.10.36.333",-71.48863659,-16.39824116,234199.9157,8185382.201,0,10,36,333,697,0,0
"1.10.36.334",-71.48848614,-16.39852459,234216.3774,8185351.021,0,10,36,334,697,0,0
"1.10.36.335",-71.48845193,-16.39863007,234220.1765,8185339.388,9,10,36,335,697,0,0
"1.10.36.336",-71.48845775,-16.39872646,234219.6854,8185328.71,9,10,36,336,697,0,0
"1.10.36.337",-71.48845024,-16.39881985,234220.6153,8185318.38,9,10,36,337,697,0,0
"1.10.36.338",-71.48846527,-16.3989122,234219.1343,8185308.138,0,10,36,338,697,0,0
